dice_id,face,adjacent_1,adjacent_2,adjacent_3,opposite,face_pair
29,16,8,19,12,5,5:16
29,17,9,18,14,4,4:17
29,18,8,17,1,3,3:18
29,19,7,16,1,2,2:19
29,20,2,10,3,1,1:20
30,1,11,19,18,20,1:20
30,2,5,14,20,19,2:19
30,3,4,13,20,18,3:18
30,4,3,12,7,17,4:17
30,5,2,13,9,16,5:16
30,6,10,14,8,15,6:15
30,7,19,15,4,14,7:14
30,8,18,16,6,13,8:13
30,9,11,17,5,12,9:12
30,10,6,12,20,11,10:11
30,11,9,15,1,10,10:11
30,12,4,10,16,9,9:12
30,13,5,3,15,8,8:13
30,14,6,2,17,7,7:14
30,15,7,11,13,6,6:15
30,16,8,19,12,5,5:16
30,17,9,18,14,4,4:17
30,18,8,17,1,3,3:18
30,19,7,16,1,2,2:19
30,20,2,10,3,1,1:20
31,1,11,19,18,20,1:20
31,2,5,14,20,19,2:19
31,3,4,13,20,18,3:18
31,4,3,12,7,17,4:17
31,5,2,13,9,16,5:16
31,6,10,14,8,15,6:15
31,7,19,15,4,14,7:14
31,8,18,16,6,13,8:13
31,9,11,17,5,12,9:12
31,10,6,12,20,11,10:11
31,11,9,15,1,10,10:11
31,12,4,10,16,9,9:12
31,13,5,3,15,8,8:13
31,14,6,2,17,7,7:14
31,15,7,11,13,6,6:15
31,16,8,19,12,5,5:16
31,17,9,18,14,4,4:17
31,18,8,17,1,3,3:18
31,19,7,16,1,2,2:19
31,20,2,10,3,1,1:20
32,1,5,2,8,20,1:20
32,2,1,3,10,16,2:16
32,3,2,4,12,17,3:17
32,4,3,5,14,18,4:18
32,5,4,1,6,19,5:19
32,6,7,15,5,11,6:11
32,7,6,8,17,12,7:12
32,8,9,7,1,13,8:13
32,9,8,10,18,14,9:14
32,10,11,9,2,15,10:15
32,11,10,12,19,6,6:11
32,12,13,11,3,7,7:12
32,13,12,14,20,8,8:13
32,14,15,13,4,9,9:14
32,15,14,6,16,10,10:15
32,16,17,20,15,2,2:16
32,17,18,16,7,3,3:17
32,18,19,17,9,4,4:18
32,19,20,18,11,5,5:19
32,20,16,19,13,1,1:20
33,1,7,19,13,20,1:20
33,2,12,18,20,19,2:19
33,3,17,16,19,18,3:18
33,4,18,11,14,17,4:17
33,5,18,15,13,16,5:16
33,6,9,16,14,15,6:15
33,7,15,17,1,14,7:14
33,8,16,10,20,13,8:13
33,9,6,11,19,12,9:12
33,10,17,12,8,11,10:11
33,11,9,4,13,10,10:11
33,12,10,15,2,9,9:12
33,13,11,5,1,8,8:13
33,14,4,6,20,7,7:14
33,15,5,12,7,6,6:15
33,16,6,3,8,5,5:16
33,17,10,3,7,4,4:17
33,18,5,4,2,3,3:18
33,19,3,9,1,2,2:19
33,20,2,14,8,1,1:20
34,1,7,19,13,20,1:20
34,2,12,18,20,19,2:19
34,3,17,16,19,18,3:18
34,4,18,11,14,17,4:17
34,5,18,15,13,16,5:16
34,6,9,16,14,15,6:15
34,7,15,17,1,14,7:14
34,8,16,10,20,13,8:13
34,9,6,11,19,12,9:12
34,10,17,12,8,11,10:11
34,11,9,4,13,10,10:11
34,12,10,15,2,9,9:12
34,13,11,5,1,8,8:13
34,14,4,6,20,7,7:14
34,15,5,12,7,6,6:15
34,16,6,3,8,5,5:16
34,17,10,3,7,4,4:17
34,18,5,4,2,3,3:18
34,19,3,9,1,2,2:19
34,20,2,14,8,1,1:20
35,1,7,19,13,20,1:20
35,2,12,18,20,19,2:19
35,3,17,16,19,18,3:18
35,4,18,11,14,17,4:17
35,5,18,15,13,16,5:16
35,6,9,16,14,15,6:15
35,7,15,17,1,14,7:14
35,8,16,10,20,13,8:13
35,9,6,11,19,12,9:12
35,10,17,12,8,11,10:11
35,11,9,4,13,10,10:11
35,12,10,15,2,9,9:12
35,13,11,5,1,8,8:13
35,14,4,6,20,7,7:14
35,15,5,12,7,6,6:15
35,16,6,3,8,5,5:16
35,17,10,3,7,4,4:17
35,18,5,4,2,3,3:18
35,19,3,9,1,2,2:19
35,20,2,14,8,1,1:20
36,1,7,19,13,20,1:20
36,2,12,18,20,19,2:19
36,3,17,16,19,18,3:18
36,4,18,11,14,17,4:17
36,5,18,15,13,16,5:16
36,6,9,16,14,15,6:15
36,7,15,17,1,14,7:14
36,8,16,10,20,13,8:13
36,9,6,11,19,12,9:12
36,10,17,12,8,11,10:11
36,11,9,4,13,10,10:11
36,12,10,15,2,9,9:12
36,13,11,5,1,8,8:13
36,14,4,6,20,7,7:14
36,15,5,12,7,6,6:15
36,16,6,3,8,5,5:16
36,17,10,3,7,4,4:17
36,18,5,4,2,3,3:18
36,19,3,9,1,2,2:19
36,20,2,14,8,1,1:20
37,1,7,19,13,20,1:20
37,2,12,18,20,19,2:19
37,3,17,16,19,18,3:18
37,4,18,11,14,17,4:17
37,5,18,15,13,16,5:16
37,6,9,16,14,15,6:15
37,7,15,17,1,14,7:14
37,8,16,10,20,13,8:13
37,9,6,11,19,12,9:12
37,10,17,12,8,11,10:11
